Year,Year_Month,Month_N,Month,Transport Type,UNIT,VALUE
2018,2018.1,1,January,Transmetro,Millions,2.67954
2018,2018.2,2,February,Transmetro,Millions,2.669412
2018,2018.3,3,March,Transmetro,Millions,2.673496
2018,2018.4,4,April,Transmetro,Millions,2.690235
2018,2018.5,5,May,Transmetro,Millions,2.979809
2018,2018.6,6,June,Transmetro,Millions,2.806689
2018,2018.7,7,July,Transmetro,Millions,3.031154
2018,2018.8,8,August,Transmetro,Millions,2.909924
2018,2018.9,9,September,Transmetro,Millions,2.717423
2018,2018.10,10,October,Transmetro,Millions,2.955234
2018,2018.11,11,November,Transmetro,Millions,2.718163
2018,2018.12,12,December,Transmetro,Millions,2.710556
2019,2019.1,1,January,Transmetro,Millions,3.025662
2019,2019.2,2,February,Transmetro,Millions,2.940137
2019,2019.3,3,March,Transmetro,Millions,2.686617
2019,2019.4,4,April,Transmetro,Millions,2.60786
2019,2019.5,5,May,Transmetro,Millions,2.849677
2019,2019.6,6,June,Transmetro,Millions,2.740219
2019,2019.7,7,July,Transmetro,Millions,2.606108
2019,2019.8,8,August,Transmetro,Millions,2.598018
2019,2019.9,9,September,Transmetro,Millions,2.589883
2019,2019.10,10,October,Transmetro,Millions,2.581708
2019,2019.11,11,November,Transmetro,Millions,2.573494
2019,2019.12,12,December,Transmetro,Millions,2.662246
2020,2020.1,1,January,Transmetro,Millions,2.921932
2020,2020.2,2,February,Transmetro,Millions,2.817683
2020,2020.3,3,March,Transmetro,Millions,2.375608
2020,2020.4,4,April,Transmetro,Millions,1.16195
2020,2020.5,5,May,Transmetro,Millions,1.035822
2020,2020.6,6,June,Transmetro,Millions,1.362925
2020,2020.7,7,July,Transmetro,Millions,1.350015
2020,2020.8,8,August,Transmetro,Millions,1.396769
2020,2020.9,9,September,Transmetro,Millions,1.394179
2020,2020.10,10,October,Transmetro,Millions,1.642288
2020,2020.11,11,November,Transmetro,Millions,1.542209
2020,2020.12,12,December,Transmetro,Millions,1.549598
2021,2021.1,1,January,Transmetro,Millions,1.391147
2021,2021.2,2,February,Transmetro,Millions,1.205532
2021,2021.3,3,March,Transmetro,Millions,1.591154
2021,2021.4,4,April,Transmetro,Millions,1.529581
2021,2021.5,5,May,Transmetro,Millions,1.558332
2021,2021.6,6,June,Transmetro,Millions,1.565606
2021,2021.7,7,July,Transmetro,Millions,1.630521
2021,2021.8,8,August,Transmetro,Millions,1.538436
2021,2021.9,9,September,Transmetro,Millions,1.58379
2021,2021.10,10,October,Transmetro,Millions,1.696193
2021,2021.11,11,November,Transmetro,Millions,1.885832
2021,2021.12,12,December,Transmetro,Millions,2.000483
2022,2022.1,1,January,Transmetro,Millions,1.879402
2022,2022.2,2,February,Transmetro,Millions,1.821408
2022,2022.3,3,March,Transmetro,Millions,2.251063
2022,2022.4,4,April,Transmetro,Millions,2.131247
2022,2022.5,5,May,Transmetro,Millions,2.305414
2022,2022.6,6,June,Transmetro,Millions,2.235719
2022,2022.7,7,July,Transmetro,Millions,2.280723
2022,2022.8,8,August,Transmetro,Millions,2.366699
2022,2022.9,9,September,Transmetro,Millions,2.312769
2022,2022.10,10,October,Transmetro,Millions,2.467146
2022,2022.11,11,November,Transmetro,Millions,2.468537
2022,2022.12,12,December,Transmetro,Millions,2.273365
